Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
19,1k,16,TP_DRL,3,229,85,7,0,0,2597.231721311476,21.08621219715735,1246234.252280557,243360.61228688527,0.0,243360.61228688527,0.0,0.0471977367043993
20,1k,16,TP_DRL,3,269,89,9,0,0,2597.231770491804,20.873585023480903,1192395.7878313689,243360.616895082,0.0,243360.616895082,0.0,0.0303418254059382
21,1k,16,TP_DRL,3,249,89,9,0,0,2548.718963737201,20.915965492020867,1207165.3118513897,238814.96690217577,0.0,238814.96690217577,0.0,0.0376798451918505
22,1k,16,TP_DRL,3,250,86,12,0,0,2540.0,20.310128258709717,1201477.6712102203,237998.0,0.0,237998.0,0.0,0.0371058198491809
23,1k,16,TP_DRL,3,255,79,6,0,0,2548.718963737201,19.958568826724964,1208582.5119893164,238814.96690217577,0.0,238814.96690217577,0.0,0.0479472272103974
24,1k,16,TP_DRL,3,274,91,9,0,0,2548.718963737201,21.14159177947033,1179861.2090333109,238814.96690217577,0.0,238814.96690217577,0.0,0.0280055526232671
25,1k,16,TP_DRL,3,260,87,10,0,0,2597.2317421529683,20.18157148776196,1198720.184994231,243360.6142397332,0.0,243360.6142397332,0.0,0.0365090696200105
26,1k,16,TP_DRL,3,268,93,7,0,0,2548.718963737201,21.58301894983141,1187493.9381782804,238814.96690217577,0.0,238814.96690217577,0.0,0.0297163787028663
27,1k,16,TP_DRL,3,268,83,8,0,0,2540.0,19.68567744575123,1182780.8350432268,237998.0,0.0,237998.0,0.0,0.038346155096162
28,1k,16,TP_DRL,3,233,74,6,0,0,2544.568093430034,18.838547288343225,1226171.2149336687,238426.0303543942,0.0,238426.0303543942,0.0,0.0591390454582866
29,1k,16,TP_DRL,3,248,83,7,0,0,2597.231732240437,19.69951619013836,1217041.4832503817,243360.6133109289,0.0,243360.6133109289,0.0,0.0452655491245982
30,1k,16,TP_DRL,3,264,87,11,0,0,2540.0,20.73945835631344,1187375.3118690737,237998.0,0.0,237998.0,0.0,0.032882351232034
31,1k,16,TP_DRL,3,261,81,11,0,0,2597.2317193205768,20.532174065817937,1205910.881169619,243360.61210033804,0.0,243360.61210033804,0.0,0.0379663359901153
32,1k,16,TP_DRL,3,260,83,9,0,0,2540.0,20.79488102115449,1200538.804235219,237998.0,0.0,237998.0,0.0,0.0392869232267238
33,1k,16,TP_DRL,3,267,81,10,0,0,2540.0,20.862939431713787,1191550.5254784166,237998.0,0.0,237998.0,0.0,0.0363151717699725
34,1k,16,TP_DRL,3,284,87,5,0,0,2597.231732240437,20.78056166667317,1184339.8812166569,243360.6133109289,0.0,243360.6133109289,0.0,0.0308956814690002
35,1k,16,TP_DRL,3,282,84,12,0,0,2540.0,21.127559106260883,1173670.3569861343,237998.0,0.0,237998.0,0.0,0.0249938516655363
36,1k,16,TP_DRL,3,280,81,10,0,0,2597.2317408358044,21.39721018376617,1192889.8405759565,243360.6141163149,0.0,243360.6141163149,0.0,0.031577222416526
37,1k,16,TP_DRL,3,238,79,6,0,0,2548.718963737201,19.796323621884014,1222898.8530642055,238814.96690217577,0.0,238814.96690217577,0.0,0.0545828106746586
38,1k,16,TP_DRL,3,245,80,8,0,0,2597.231721311476,20.23849516893788,1223688.2403250523,243360.61228688527,0.0,243360.61228688527,0.0,0.0467620002855324
39,1k,16,TP_DRL,3,194,60,9,0,0,2597.231732240437,18.854750238800943,1287651.997534812,243360.6133109289,0.0,243360.6133109289,0.0,0.0788450192199744
40,1k,16,TP_DRL,3,228,75,6,0,0,2540.0,18.58789280273797,1227570.532497814,237998.0,0.0,237998.0,0.0,0.0619737135430304
