Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
40,1k,16,TP_DRL,3,285,91,8,0,0,2597.8194420158616,23.32970347457924,1182517.8241323766,188838.8069004419,61081.01250342828,249919.81940387012,0.5622239177903309,0.0268175777599198
41,1k,16,TP_DRL,3,243,92,10,0,0,2545.119049717433,22.12058464459621,1204176.4889378638,183784.68421437475,61172.57278949043,244957.2570038652,0.5496261734484252,0.040862821930667
42,1k,16,TP_DRL,3,292,77,9,0,0,2540.613224459059,21.445817474603533,1164800.22301562,182878.2557434438,61701.91295550335,244580.16869894715,0.5673130063804875,0.038386339425416
43,1k,16,TP_DRL,3,259,87,10,0,0,2549.284687344451,22.627185147208092,1200231.0385335586,184552.31393810007,60750.36022723013,245302.67416533027,0.560615294151206,0.0367635385369575
44,1k,16,TP_DRL,3,289,96,9,0,0,2549.3026447845104,21.30625758641079,1148144.9470089455,183190.1028298478,62294.11524892631,245484.2180787741,0.570280400207925,0.0229697205269399
45,1k,16,TP_DRL,3,288,101,8,0,0,2597.806933373975,23.08703027831148,1165215.853353545,188918.0703372219,60967.01058248749,249885.0809197094,0.5603136246323748,0.02164902239869
46,1k,16,TP_DRL,3,244,91,6,0,0,2549.2973849274254,21.561389517549497,1207381.3687837974,183985.64746670777,61396.90653781561,245382.55400452332,0.5621272356234724,0.0449785252347573
47,1k,16,TP_DRL,3,250,79,9,0,0,2597.900605141993,21.983921715626124,1220926.737183713,188732.9263451372,61186.85502141629,249919.78136655348,0.5596118285819428,0.047139041094872
48,1k,16,TP_DRL,3,272,80,11,0,0,2540.594489139335,21.54925559892557,1181352.8094963746,183324.84624506955,61239.963304855744,244564.8095499253,0.56488006898107,0.0363897591380577
49,1k,16,TP_DRL,3,244,76,9,0,0,2549.2810644194024,20.969371911709924,1213270.6718838625,184327.7305932544,61002.336797721015,245330.06739097543,0.5496406281559154,0.0546588821760331
50,1k,16,TP_DRL,3,243,76,9,0,0,2597.8881535230166,21.39435605798157,1228904.122033007,187909.1276727437,62108.87995145792,250018.0076242016,0.5664001533754954,0.0540837927131866
51,1k,16,TP_DRL,3,231,68,9,0,0,2597.8335980812053,20.951317073533403,1247459.174950334,189203.55723007652,60620.757918999145,249824.31514907573,0.5531409068661461,0.0650367230405281
52,1k,16,TP_DRL,3,240,81,8,0,0,2549.37512398892,20.717084454864207,1210706.888934455,184346.1296925451,60991.230239884026,245337.3599324292,0.5393578526424887,0.0522657804551362
53,1k,16,TP_DRL,3,241,77,8,0,0,2597.8563063348915,20.92638649791357,1227868.17258011,188519.74000156167,61382.86347736695,249902.60347892865,0.5671888088182575,0.0542557438952849
54,1k,16,TP_DRL,3,242,91,6,0,0,2549.3240183736943,20.79544316449221,1203417.8328986028,183507.86851023012,61933.77515163481,245441.64366186492,0.5648778597675037,0.0477322496274134
55,1k,16,TP_DRL,3,273,85,7,0,0,2549.337927777133,21.59377823536602,1180475.4502596944,184026.04092690392,61362.348439303765,245388.3893662077,0.568849396382324,0.0377126213569977
56,1k,16,TP_DRL,3,276,78,9,0,0,2540.6211407811625,21.706291137655647,1182704.851486333,182874.2912626824,61736.99772826363,244611.28899094605,0.5657263470752768,0.0404266873192363
57,1k,16,TP_DRL,3,253,84,10,0,0,2549.298014527754,21.972086377409425,1202619.6919311371,184458.78980921363,60846.30918360994,245305.0989928236,0.5488541251191501,0.0428017547114764
58,1k,16,TP_DRL,3,241,76,8,0,0,2597.8685684799334,22.78365207319541,1241541.651339683,188176.4459998563,61777.67351561059,249954.1195154669,0.5625782999453496,0.0540770085498095
59,1k,16,TP_DRL,3,263,88,9,0,0,2597.826883898354,21.871655708065,1197408.4599024423,188687.40501192017,61204.53462358673,249891.9396355069,0.5520673307740751,0.0377724958422706
60,1k,16,TP_DRL,3,265,82,9,0,0,2597.788320089557,22.084909041050043,1203183.85452802,189257.0177819125,60582.70382577553,249839.72160768803,0.5562748415887023,0.0405885970159564
61,1k,16,TP_DRL,3,251,92,7,0,0,2597.869339591261,21.36515133659248,1204082.377920288,187379.0091899029,62663.19719142565,250042.20638132852,0.5745373304935046,0.0424323240812675
62,1k,16,TP_DRL,3,272,88,8,0,0,2597.854083377608,21.754866982857084,1188454.5523681424,188831.8083604609,61054.538153256144,249886.34651371703,0.5623294508888236,0.0352203812340948
63,1k,16,TP_DRL,3,255,83,10,0,0,2549.339817185362,22.15219504180554,1204164.8708149665,183962.17549424944,61409.02583187982,245371.20132612923,0.559188466683697,0.0418398009408913
64,1k,16,TP_DRL,3,235,76,8,0,0,2549.327361135248,20.618663003732877,1222507.2424848166,184160.5288015624,61208.3100985332,245368.8389000956,0.5560953899152344,0.0594355837431377
65,1k,16,TP_DRL,3,240,83,8,0,0,2549.304920154489,21.32752720441275,1216365.5627083443,184470.7450170093,60851.78510366679,245322.5301206761,0.5603928375851039,0.0492905590162069
66,1k,16,TP_DRL,3,253,96,8,0,0,2597.8922008638697,21.87818983977894,1202848.3537656805,188358.2554513167,61592.73696883214,249950.9924201489,0.5722155356040886,0.0349921983301838
67,1k,16,TP_DRL,3,236,76,10,0,0,2597.891839264024,22.33692988016509,1243254.5901862537,188930.19035275804,60929.5468715769,249859.7372243349,0.549160622385761,0.054173744845714
68,1k,16,TP_DRL,3,259,63,9,0,0,2597.7773038234827,21.589131837506105,1226928.7793323286,188642.5149379762,61268.1583118071,249910.67324978329,0.5540443022278839,0.0569842603577519
69,1k,16,TP_DRL,3,252,80,10,0,0,2549.3739497134484,21.594872605706787,1204255.4701794444,183787.6015460936,61570.08350848431,245357.68505457783,0.5653141936423178,0.0461341624804094
70,1k,16,TP_DRL,3,261,77,8,0,0,2545.1628440688173,21.556315097016306,1198966.4667536174,183737.7194668728,61232.67466968983,244970.3941365626,0.5516978424741271,0.0502141736372216
71,1k,16,TP_DRL,3,268,84,5,0,0,2549.3183809110246,21.68294576138377,1190269.0385155184,183303.00611048847,62172.31780412793,245475.32391461649,0.5718832872189444,0.0431624402390508
72,1k,16,TP_DRL,3,262,90,9,0,0,2549.314158975746,21.860506180568173,1189440.674877626,184472.7298605303,60850.88345272333,245323.6133132536,0.5636456656287586,0.0341925347799505
73,1k,16,TP_DRL,3,277,85,7,0,0,2549.3352233917685,22.089358351975925,1179060.1641366235,184365.391990456,60978.04845421588,245343.44044467184,0.5550779086388337,0.0367477575076808
